Date;CodeName;Age;Residence;Graduation;NoPreviousResidences;Frequency;Trainings;Report_diagnosis;Treatment_strategies;Report_recurrence;Palliative_treatment;Family_involviment;Patient_reaction;Communicate_death;Prepared;Performance;Discomfort;Dealing_reaction_patient;Course_training
2023/01/099:34:03PMGMT-3,;BACL;26;HC_UFMG;2;2;3;4;2;2;2;2;4;6;5;6;6;5;5;10
2023/01/099:44:53PMGMT-3,;VAS;27;HC_UFMG;2;2;4;3;1;1;4;4;1;1;4;7;7;5;6;10
2023/01/0910:49:40PMGMT-3,;CRVL;27;HC_UFMG;2;2;4;3;5;4;4;7;4;3;10;4;7;6;4;10
2023/01/0910:55:13PMGMT-3,;GBM;28;HC_UFMG;3;2;3;3;10;10;10;10;10;10;10;3;5;8;5;10
2023/01/0911:13:34PMGMT-3,;DSLS;31;HMOB;4;2;3;3;8;8;9;10;8;8;10;7;7;9;7;10
2023/01/107:30:26AMGMT-3,;LSCR;27;HC_UFMG;2;2;4;6;10;5;10;10;3;3;10;7;8;6;8;10
2023/01/108:00:57AMGMT-3,;LLFM;31;HMC;4;2;2;3;7;3;10;3;6;5;4;7;8;3;7;10
2023/01/108:34:47AMGMT-3,;JA;28;HMC;2;2;4;4;3;2;3;4;2;2;3;6;4;3;3;10
2023/01/102:47:46PMGMT-3,;APS;27;HMOB;3;2;2;3;8;6;8;9;8;7;10;7;7;5;8;10
2023/01/1111:16:53AMGMT-3,;CCAC;27;HC_UFMG;2;2;3;1;3;7;8;10;5;7;10;4;5;3;5;10
2023/01/1111:48:45AMGMT-3,;BGV;27;HC_UFMG;1;2;3;3;5;3;3;10;10;8;10;5;5;9;3;10
2023/01/1212:41:32PMGMT-3,;SKLS;31;HC_UFMG;4;2;3;2;9;3;9;8;2;9;10;6;6;8;6;10
2023/01/149:32:18PMGMT-3,;KPR;29;HC_UFMG;3;2;4;4;10;5;8;10;7;6;8;7;6;2;7;10
2023/01/1510:50:46PMGMT-3,;RAM;36;HMOB;3;2;4;4;2;1;2;3;1;4;4;7;7;5;7;10
2023/01/1610:57:19PMGMT-3,;FBA;27;HMOB;2;2;4;3;4;2;3;4;4;4;4;7;6;7;7;10
2023/01/186:53:35PMGMT-3,;LBP;28;HMOB;2;2;3;3;9;7;9;7;8;8;9;7;7;5;7;10
2023/01/186:55:09PMGMT-3,;SSN;27;HMOB;3;2;3;4;1;6;7;10;10;10;10;5;5;10;5;10
2023/01/187:00:29PMGMT-3,;LSG;28;HMD;2;2;2;4;3;2;3;3;3;4;4;5;6;4;6;10
2023/01/187:11:09PMGMT-3,;SPC;28;HC_UFMG;2;2;4;4;5;5;8;9;5;5;6;6;7;5;4;10
2023/01/187:12:52PMGMT-3,;GCO;29;HMD;2;1;4;4;2;2;1;8;3;5;9;7;8;7;8;10
2023/01/188:36:56PMGMT-3,;LMS;26;HMOB;1;2;3;3;6;6;6;10;10;10;10;6;5;3;4;10
2023/01/188:46:09PMGMT-3,;HCB;31;HMD;2;2;3;3;6;3;7;8;4;9;10;6;6;8;6;10
2023/01/189:49:43PMGMT-3,;MBS;29;HMOB;3;2;3;4;7;4;8;6;6;9;9;6;6;7;5;10
2023/01/189:53:38PMGMT-3,;JAC;28;HC_UFMG;2;2;3;3;8;4;8;4;4;5;10;5;5;5;5;10
2023/01/1810:13:14PMGMT-3,;GPG;30;HMD;3;2;2;1;6;7;9;10;10;10;10;8;7;9;5;10
2023/01/1811:50:35PMGMT-3,;BMC;27;HMOB;2;2;3;1;10;5;8;9;9;7;10;3;2;2;3;10
2023/01/259:45:24AMGMT-3,;ACRC;27;HMD;2;2;2;3;1;2;3;3;2;3;3;4;3;3;3;10
2023/01/259:46:38AMGMT-3,;MPVF;28;HMOB;2;2;2;1;2;2;4;4;1;2;4;6;6;8;6;10
2023/01/2510:46:13AMGMT-3,;LRA;26;HC_UFMG;3;2;4;4;8;2;2;9;9;7;10;7;7;7;6;10
2023/01/2510:49:33AMGMT-3,;BLFS;28;HC_UFMG;3;2;4;4;7;7;7;7;7;6;6;8;8;6;6;10
2023/01/2512:00:28PMGMT-3,;MNB;25;HMOB;2;2;2;4;1;3;1;7;5;8;10;5;5;4;4;10
2023/01/251:42:27PMGMT-3,;NRSF;28;HC_UFMG;2;2;3;1;4;6;7;10;9;9;10;4;6;6;6;10
2023/01/252:09:11PMGMT-3,;VFWM;37;HMD;2;2;4;3;3;9;7;10;9;7;10;6;7;9;7;10
2023/01/252:12:14PMGMT-3,;MRF;27;HC_UFMG;2;2;3;1;5;5;7;9;9;10;10;6;7;9;6;10
2023/01/254:26:56PMGMT-3,;LFS;26;HMD;2;2;3;5;3;3;3;3;3;3;3;6;6;5;5;10
2023/01/254:53:19PMGMT-3,;MTCV;28;HC_UFMG;3;1;4;3;4;5;6;10;8;8;10;5;5;3;5;10
2023/01/255:06:57PMGMT-3,;JAA;30;HMD;4;2;3;4;5;2;5;10;5;7;10;7;7;5;7;10
2023/01/255:45:33PMGMT-3,;BSPN;27;HC_UFMG;2;2;3;1;2;4;8;10;7;7;10;4;7;4;4;10
2023/01/255:56:42PMGMT-3,;FGA;25;HC_UFMG;1;2;3;3;7;5;5;8;6;6;7;5;6;3;5;10
2023/01/256:02:27PMGMT-3,;MTRM;30;HMOB;3;2;3;2;9;7;9;10;6;7;9;4;5;5;5;10
