Date;CodeName;Report_diagnosis;Treatment_strategies;Report_recurrence;Palliative_treatment;Family_involviment;Patient_reaction;Communicate_death;Medical_error;Prepared;Performance;Discomfort;Dealing_reaction_patient;Course_training;Training_relevance;Training_changed_atittude
29/04/2023 11:20;ACRC;2;2;3;3;2;1;2;3;6;4;6;6;8;10;10
29/04/2023 11:25;APS;4;3;5;7;6;6;9;10;8;8;4;6;10;10;10
03/05/2023 06:34;BGV;1;1;2;4;3;5;9;8;6;6;6;8;10;10;10
02/05/2023 19:52;BSPN;10;5;9;10;7;6;10;10;8;8;6;6;10;10;10
26/04/2023 21:13;BMC;9;8;8;9;7;7;8;8;6;6;4;6;10;10;10
26/04/2023 12:19;BLFS;8;7;9;10;8;7;8;10;6;6;4;8;10;10;10
25/04/2023 12:46;BACL;4;5;7;8;6;8;8;10;6;8;6;8;10;10;8
18/04/2023 14:43;CRVL;10;7;8;10;5;7;10;10;6;8;4;2;10;10;8
04/05/2023 09:08;CCAC;4;4;6;8;7;8;10;10;6;6;6;6;10;10;10
25/04/2023 12:10;DSLS;8;8;8;8;9;8;7;1;8;8;8;8;10;10;10
29/04/2023 11:23;FGA;7;3;7;7;3;7;8;9;6;6;6;6;10;10;10
19/04/2023 16:12;FBA;9;7;9;9;8;8;9;10;8;8;6;6;10;6;10
30/04/2023 08:50;GCO;2;1;3;8;6;6;10;10;6;6;6;6;10;10;10
18/04/2023 14:33;GBM;8;9;9;10;9;10;10;10;6;6;4;6;10;10;10
26/04/2023 11:27;GPG;6;6;9;10;10;10;10;10;6;6;4;4;10;8;8
29/04/2023 11:25;HCB;7;5;8;8;4;8;10;10;6;4;4;6;10;10;10
29/04/2023 12:52;JAC;5;2;4;7;1;3;5;7;6;6;6;6;10;10;10
02/05/2023 14:14;JAA;4;2;4;8;1;6;8;8;6;6;6;6;10;10;8
23/04/2023 10:44;JA;3;2;3;4;3;4;3;4;6;6;8;6;10;8;8
26/04/2023 21:10;LBP;9;8;10;9;8;8;9;9;6;6;4;6;10;10;10
22/04/2023 20:07;LLFM;4;4;6;8;6;6;8;10;8;8;4;6;10;8;8
22/04/2023 21:31;LMS;1;1;9;9;3;10;10;10;6;6;4;6;10;10;10
02/05/2023 14:14;LFS;8;5;5;8;8;8;5;10;6;6;6;6;10;10;8
17/04/2023 16:00;LSG;2;2;2;3;3;4;3;4;6;6;6;6;10;10;8
18/04/2023 16:42;LSCR;9;9;9;10;4;3;10;10;6;6;6;6;10;10;10
18/04/2023 14:55;LRA;8;8;6;6;6;8;10;10;8;8;6;6;10;10;10
02/05/2023 15:50;MPVF;6;6;7;7;5;7;10;10;6;6;6;6;10;10;10
29/04/2023 20:39;MNB;1;3;5;9;7;6;9;10;8;8;6;4;10;10;10
18/04/2023 20:12;MBS;6;4;6;8;3;6;7;8;8;6;6;6;10;10;8
25/04/2023 12:42;MTRM;9;7;9;10;7;9;9;10;6;6;4;6;10;8;10
29/04/2023 11:53;NRSF;4;7;7;9;9;8;10;10;6;6;6;6;8;6;8
29/04/2023 20:10;RAM;1;1;1;4;1;4;3;4;8;8;8;8;10;10;8
02/05/2023 14:18;SPC;4;6;8;9;5;3;9;10;6;6;8;8;10;10;8
18/04/2023 14:46;SSN;9;4;8;9;4;8;9;10;8;8;4;6;10;10;10
23/04/2023 19:53;SKLS;8;3;7;9;2;6;9;10;6;6;6;6;10;8;8
29/04/2023 11:31;VFWM;4;5;7;9;9;8;10;10;8;8;6;6;10;10;8
26/04/2023 22:29;VAS;1;6;6;8;1;2;7;7;6;6;6;8;10;10;10
